zip,rate
85321,0.0938871473
36560,0.1350567138
36513,0.1350567138
36280,0.1350567138
35473,0.1350567138
35229,0.1350567138
36375,0.1350567138
36042,0.1350567138
36370,0.1350567138
35555,0.1350567138
36832,0.1350567138
36505,0.1350567138
35452,0.1350567138
36110,0.1350567138
35442,0.1350567138
35211,0.1350567138
36043,0.1350567138
35184,0.1350567138
35171,0.1350567138
35055,0.1350567138
36054,0.1350567138
36782,0.1350567138
35907,0.1350567138
36850,0.1350567138
36507,0.1350567138
36079,0.1350567138
35073,0.1350567138
35019,0.1350567138
36092,0.1350567138
35150,0.1350567138
36376,0.1350567138
36006,0.1350567138
35080,0.1350567138
35114,0.1350567138
35208,0.1350567138
35116,0.1350567138
35580,0.1350567138
36066,0.1350567138
36444,0.1350567138
36276,0.1350567138
36509,0.1350567138
36027,0.1350567138
36033,0.1350567138
36607,0.1350567138
36720,0.1350567138
36481,0.1350567138
36340,0.1350567138
36752,0.1350567138
36041,0.1350567138
35004,0.1350567138
35176,0.1350567138
36756,0.1350567138
35121,0.1350567138
36749,0.1350567138
35007,0.1350567138
35457,0.1350567138
36783,0.1350567138
36855,0.1350567138
35072,0.1350567138
36544,0.1350567138
35976,0.1350567138
36263,0.1350567138
36114,0.1350567138
35463,0.1350567138
35475,0.1350567138
36523,0.1350567138
36040,0.1350567138
35957,0.1350567138
36502,0.1350567138
36051,0.1350567138
35148,0.1350567138
36113,0.1350567138
35120,0.1350567138
36255,0.1350567138
36603,0.1350567138
35654,0.1350567138
36532,0.1350567138
36541,0.1350567138
35542,0.1350567138
36575,0.1350567138
35137,0.1350567138
36046,0.1350567138
36790,0.1350567138
36866,0.1350567138
35578,0.1350567138
35022,0.1350567138
35466,0.1350567138
36477,0.1350567138
35233,0.1350567138
35218,0.1350567138
35544,0.1350567138
35474,0.1350567138
35124,0.1350567138
35210,0.1350567138
36279,0.1350567138
35213,0.1350567138
36258,0.1350567138
36269,0.1350567138
36527,0.1350567138
35118,0.1350567138
35406,0.1350567138
35954,0.1350567138
36116,0.1350567138
36853,0.1350567138
35972,0.1350567138
35464,0.1350567138
36879,0.1350567138
36612,0.1350567138
35285,0.1350567138
36740,0.1350567138
35405,0.1350567138
36553,0.1350567138
35119,0.1350567138
36201,0.1350567138
35130,0.1350567138
36260,0.1350567138
35906,0.1350567138
35214,0.1350567138
35504,0.1350567138
35223,0.1350567138
36312,0.1350567138
36750,0.1350567138
35085,0.1350567138
36456,0.1350567138
35051,0.1350567138
35226,0.1350567138
35593,0.1350567138
36482,0.1350567138
35023,0.1350567138
36432,0.1350567138
35045,0.1350567138
36751,0.1350567138
35401,0.1350567138
36117,0.1350567138
36032,0.1350567138
36031,0.1350567138
36870,0.1350567138
35443,0.1350567138
36675,0.1350567138
36548,0.1350567138
36784,0.1350567138
36571,0.1350567138
35042,0.1350567138
36543,0.1350567138
36351,0.1350567138
36305,0.1350567138
35244,0.1350567138
35034,0.1350567138
36451,0.1350567138
36615,0.1350567138
35541,0.1350567138
36871,0.1350567138
35570,0.1350567138
35581,0.1350567138
36320,0.1350567138
36024,0.1350567138
36353,0.1350567138
35990,0.1350567138
35126,0.1350567138
36344,0.1350567138
35553,0.1350567138
35447,0.1350567138
36425,0.1350567138
36921,0.1350567138
35576,0.1350567138
35564,0.1350567138
36036,0.1350567138
36908,0.1350567138
35040,0.1350567138
35459,0.1350567138
36915,0.1350567138
36801,0.1350567138
36768,0.1350567138
36877,0.1350567138
36793,0.1350567138
35188,0.1350567138
35254,0.1350567138
35461,0.1350567138
36274,0.1350567138
36345,0.1350567138
35653,0.1350567138
36608,0.1350567138
35490,0.1350567138
35117,0.1350567138
36916,0.1350567138
36767,0.1350567138
35571,0.1350567138
35594,0.1350567138
36528,0.1350567138
36732,0.1350567138
36742,0.1350567138
35550,0.1350567138
36330,0.1350567138
